"noted_date","temperature_inside","__dt"
"2018-10-27 07:38:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:40:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:40:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:41:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:42:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:44:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:46:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:46:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:46:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:48:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:48:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:48:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:50:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:51:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:52:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:52:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:53:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:55:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:53:00","32","2022-03-29 00:00:00.000"
"2018-10-27 07:54:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:55:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:56:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:58:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:58:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:59:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:59:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:59:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:01:00","33","2022-03-29 00:00:00.000"
"2018-10-27 07:59:00","33","2022-03-29 00:00:00.000"
"2018-10-27 08:00:00","33","2022-03-29 00:00:00.000"
